iter	Passed	Remaining
0	58	58574
1	59	29520
2	59	19826
3	60	14946
4	60	12028
5	60	10070
6	61	8670
7	61	7631
8	61	6822
9	62	6185
10	62	5655
11	63	5211
12	63	4834
13	64	4511
14	64	4233
15	64	3993
16	65	3773
17	65	3583
18	66	3412
19	66	3253
20	66	3108
21	67	2980
22	67	2864
23	67	2759
24	68	2664
25	68	2571
26	68	2485
27	69	2408
28	69	2337
29	70	2268
30	70	2205
31	70	2146
32	71	2089
33	71	2034
34	71	1983
35	72	1935
36	72	1889
37	72	1845
38	73	1807
39	73	1769
40	74	1735
41	74	1700
42	74	1667
43	75	1634
44	75	1603
45	75	1575
46	76	1545
47	76	1518
48	76	1494
49	77	1470
50	77	1447
51	78	1425
52	78	1402
53	78	1381
54	79	1360
55	79	1340
56	79	1321
57	80	1303
58	80	1284
59	80	1266
60	81	1250
61	81	1234
62	81	1218
63	82	1202
64	82	1187
65	82	1172
66	83	1159
67	83	1146
68	83	1133
69	84	1120
70	84	1108
71	85	1097
72	85	1084
73	85	1073
74	86	1066
75	86	1055
76	87	1046
77	87	1036
78	88	1025
79	88	1015
80	88	1005
81	88	995
82	89	983
83	89	974
84	89	965
85	90	957
86	90	949
87	90	941
88	91	933
89	91	925
90	91	917
91	92	910
92	92	904
93	93	896
94	93	889
95	93	882
96	94	875
97	94	868
98	94	861
99	95	855
100	95	848
101	95	841
102	95	835
103	96	830
104	96	823
105	97	818
106	97	812
107	97	806
108	98	801
109	98	795
110	98	790
111	99	785
112	99	779
113	99	774
114	100	769
115	100	764
116	100	758
117	100	753
118	101	749
119	101	745
120	101	740
121	102	735
122	102	731
123	103	727
124	103	723
125	103	719
126	104	715
127	104	711
128	104	708
129	105	704
130	105	701
131	106	699
132	106	696
133	107	693
134	107	689
135	107	685
136	108	681
137	108	678
138	108	674
139	109	670
140	109	667
141	109	663
142	110	660
143	110	657
144	110	653
145	111	650
146	111	647
147	111	644
148	112	641
149	112	638
150	112	634
151	113	631
152	113	628
153	113	625
154	114	622
155	114	619
156	114	616
157	115	614
158	115	611
159	116	609
160	116	605
161	116	602
162	116	599
163	117	596
164	117	593
165	117	590
166	117	587
167	118	585
168	118	582
169	118	579
170	119	577
171	119	575
172	120	574
173	120	572
174	120	569
175	121	567
176	121	566
177	122	564
178	122	561
179	122	559
180	123	557
181	123	556
182	124	554
183	124	552
184	125	550
185	125	549
186	125	547
187	126	546
188	126	544
189	127	542
190	127	540
191	127	538
192	128	536
193	128	534
194	129	532
195	129	531
196	129	529
197	130	527
198	130	525
199	130	522
200	131	520
201	131	519
202	131	516
203	132	515
204	132	513
205	132	512
206	133	510
207	133	508
208	133	507
209	134	505
210	134	504
211	135	502
212	135	501
213	136	500
214	136	498
215	136	497
216	137	495
217	137	494
218	138	492
219	138	491
220	139	490
221	139	489
222	139	487
223	140	485
224	140	484
225	140	482
226	141	481
227	141	479
228	141	478
229	142	476
230	142	474
231	142	473
232	143	472
233	143	470
234	144	469
235	144	467
236	144	466
237	145	464
238	145	463
239	145	462
240	146	461
241	146	459
242	147	458
243	147	458
244	148	456
245	148	455
246	149	454
247	149	452
248	149	451
249	150	450
250	150	449
251	151	448
252	151	446
253	151	445
254	152	444
255	152	442
256	152	441
257	153	440
258	153	438
259	153	437
260	154	436
261	154	435
262	155	434
263	155	433
264	155	432
265	156	431
266	156	430
267	157	428
268	157	427
269	157	426
270	158	425
271	158	424
272	159	424
273	160	423
274	160	422
275	160	421
276	161	420
277	161	419
278	161	417
279	162	416
280	162	415
281	162	414
282	163	413
283	163	412
284	163	410
285	164	409
286	164	408
287	164	407
288	165	406
289	165	405
290	165	404
291	166	402
292	166	401
293	166	400
294	167	399
295	167	399
296	168	398
297	168	396
298	168	395
299	169	394
300	169	393
301	169	392
302	170	392
303	170	391
304	171	390
305	171	389
306	172	388
307	172	387
308	172	386
309	173	385
310	173	384
311	174	383
312	174	383
313	175	382
314	175	381
315	175	380
316	176	379
317	176	378
318	177	377
319	177	377
320	177	376
321	178	375
322	178	374
323	178	373
324	179	372
325	179	371
326	179	370
327	180	369
328	180	368
